Company,Closing Price,Day's Value (mn),Day's Volume (Nos.),Total No. of Outstanding Securities
PRIMEFIN,4.30,1.13,"260,671.00","272,916,483"
PRIMEINSUR,35.40,10.30,"288,288.00","40,877,498"
PRIMELIFE,40.70,5.68,"139,244.00","30,520,230"
PRIMETEX,13.70,0.32,"22,765.00","38,200,000"
PROGRESLIF,50.10,2.38,"47,060.00","16,643,166"
PROVATIINS,33.40,5.99,"178,043.00","40,312,237"
PTL,-,-,-,"179,116,886"
PUBALIBANK,30.00,22.73,"757,621.00","1,301,434,869"
PURABIGEN,18.00,1.04,"57,839.00","59,812,506"
QUASEMIND,42.90,30.09,"696,585.00","72,726,541"
QUEENSOUTH,13.10,7.70,"583,601.00","152,601,439"
RAHIMAFOOD,161.70,86.54,"530,366.00","20,000,200"
RAHIMTEXT,180.80,24.69,"138,075.00","9,459,683"
RAKCERAMIC,22.30,2.80,"124,333.00","427,968,701"
RANFOUNDRY,157.30,2.17,"13,623.00","10,000,000"
RDFOOD,23.50,14.42,"610,624.00","75,973,956"
RECKITTBEN,"3,397.70",10.77,"3,171.00","4,725,000"
REGENTTEX,3.80,0.15,"40,210.00","128,612,137"
RELIANCE1,16.00,6.38,"395,595.00","60,500,000"
RELIANCINS,59.90,4.13,"68,122.00","105,161,087"
RENATA,500.60,29.83,"59,356.00","114,696,490"
RENWICKJA,681.40,0.11,156.00,"2,000,000"
REPUBLIC,28.60,4.32,"149,531.00","54,704,156"
RINGSHINE,3.10,1.36,"447,806.00","500,313,043"
ROBI,27.20,49.70,"1,815,639.00","5,237,932,895"
RSRMSTEEL,10.40,0.10,"10,029.00","101,189,088"
RUNNERAUTO,30.20,30.30,"999,199.00","113,539,932"
RUPALIBANK,22.50,13.22,"584,043.00","487,932,065"
RUPALIINS,21.50,5.14,"239,247.00","76,665,411"
RUPALILIFE,88.70,57.49,"644,736.00","30,014,236"
SAFKOSPINN,14.70,14.13,"950,915.00","29,981,716"
SAIFPOWER,7.00,3.08,"440,762.00","379,338,647"
SAIHAMCOT,14.70,22.49,"1,521,892.00","148,775,000"
SAIHAMTEX,14.60,14.25,"973,080.00","90,562,500"
SALAMCRST,19.50,12.78,"649,160.00","98,371,100"
SALVOCHEM,25.40,24.58,"958,605.00","65,022,793"
SAMATALETH,82.70,13.74,"166,516.00","10,320,000"
SAMORITA,66.80,9.38,"137,969.00","21,800,897"
SANDHANINS,22.10,12.25,"546,430.00","109,698,633"
SAPORTL,24.10,21.52,"880,562.00","236,867,123"
SAVAREFR,215.50,-,-,"1,392,800"
SBACBANK,8.10,5.15,"624,592.00","824,191,650"
SEAPEARL,49.70,68.13,"1,351,247.00","120,750,000"
SEB1PBOND,"4,899.00",-,-,"100,000"
SEMLFBSLGF,5.50,1.16,"208,841.00","72,944,500"
SEMLIBBLSF,7.00,0.49,"71,167.00","100,000,000"
SEMLLECMF,7.90,16.66,"2,089,917.00","50,000,000"
SHAHJABANK,18.70,8.44,"453,218.00","1,112,968,351"
SHARPIND,17.40,5.01,"285,375.00","303,452,109"
SHASHADNIM,18.60,14.70,"782,649.00","141,035,910"
SHEPHERD,17.90,9.03,"496,947.00","154,046,473"
